16940,-124,335,4265,195,179,687,289,0,1,236
16960,194,181,4122,-11,34,597,298,1,3,237
16980,238,350,4178,10,35,458,305,1,3,236
17000,395,247,4070,-3,11,265,310,0,3,236
17020,86,308,4076,3,15,225,313,0,3,236
17040,-466,639,4157,-56,23,425,317,1,3,237
17060,-1207,1106,3737,-35,87,959,327,1,3,236
17080,-41,605,3218,5,245,1127,342,2,4,236
17100,625,-204,4179,88,30,786,356,1,5,237
17120,386,-26,4188,49,38,408,363,1,5,237
17140,-50,318,4085,-35,4,406,369,1,5,237
17160,147,288,4162,15,27,375,374,1,5,237
17180,747,202,4173,19,21,155,378,1,5,236
17200,87,297,4106,1,-7,8,379,1,4,237
17220,-398,396,4110,13,29,393,381,1,4,236
17240,-1,373,4122,27,53,607,389,1,5,236
17260,-45,500,4050,12,22,448,395,1,5,236
17280,371,53,4074,5,21,328,402,1,5,236
17300,47,327,4136,-5,9,375,407,1,5,236
17320,70,473,4116,1,24,362,412,1,5,237
17340,213,145,4244,12,58,412,418,1,5,237
17360,20,292,4115,12,34,362,423,1,5,237
17380,12,299,4130,13,33,467,429,1,5,236
17400,-171,326,4188,22,74,550,436,1,5,237
17420,481,406,3677,-46,-50,501,444,0,4,237
17440,-344,571,3825,-4,11,660,452,0,4,237
17460,99,289,4099,7,54,672,462,1,5,237
17480,-159,281,4242,39,80,589,470,1,5,237
17500,-1,239,4118,40,57,741,480,2,6,237
17520,-66,225,4163,4,46,791,491,2,6,237
17540,236,275,4098,-9,35,838,502,1,5,237
17560,435,286,4154,5,75,729,513,1,5,237
17580,213,190,4148,9,63,752,523,1,5,237
17600,109,311,4131,30,77,785,534,1,5,237
17620,96,299,4094,27,44,678,544,1,5,237
17640,19,209,4107,15,15,712,554,1,5,237
17660,-59,134,4212,-54,18,746,564,0,5,237
17680,-80,270,3861,-83,-8,772,574,0,4,237
17700,114,361,4055,27,25,667,584,0,4,237
17720,119,366,4160,30,83,793,595,0,5,237
17740,-45,502,4100,21,32,1203,609,0,5,236
17760,-25,519,4048,-117,63,1362,627,0,4,237
17780,39,423,4199,12,75,1245,645,0,4,237
17800,471,59,4117,-50,2,1132,662,0,4,237
17820,-48,373,4068,-204,-115,1259,678,-3,1,237
17840,-241,346,4029,84,58,1397,696,-4,0,237
17860,141,61,4235,-2,108,1546,717,-4,0,237
17880,723,554,3987,27,65,1417,738,-5,0,237
17900,353,138,4167,110,108,1187,756,-5,0,237
17920,-182,95,3988,125,-90,867,770,-6,1,237
17940,4,98,4116,35,63,853,783,-6,0,237
17960,152,179,4151,48,76,763,794,-7,0,237
17980,292,349,4188,15,67,751,805,-7,0,237
18000,349,-314,4346,48,19,775,816,-7,0,237
18020,127,150,4254,-115,44,1169,829,-8,0,237
18040,-27,245,3894,-25,19,1004,844,-8,0,237
18060,-189,537,4084,48,83,1068,858,-8,0,237
18080,-230,482,4196,51,80,1118,874,-8,0,237
18100,163,314,4192,10,108,1093,890,-8,0,237
18120,157,389,3804,62,86,1151,905,-9,0,237
18140,-145,161,4172,-62,235,1211,922,-9,0,237
18160,137,-116,4099,-49,-17,1000,938,-9,-1,237
18180,253,233,4144,3,10,526,947,-10,-1,237
18200,321,185,4258,36,27,357,952,-10,0,237
18220,221,181,4083,41,29,343,957,-10,0,237
18240,288,174,4089,18,25,223,961,-10,0,237
18260,232,241,4102,22,1,170,964,-10,0,237
18280,60,352,4103,-2,5,220,967,-10,0,237
18300,262,64,4118,1,2,152,970,-10,0,237
18320,84,243,4130,33,30,154,972,-10,0,237
18340,61,172,4169,207,175,165,975,-8,1,237
18360,135,401,4233,62,60,215,977,-7,2,237
18380,57,274,4115,6,16,268,981,-7,2,237
18400,-20,271,4064,-9,6,312,985,-7,2,237
18420,46,491,4046,-2,33,287,989,-7,2,237
18440,89,206,4129,16,19,202,992,-7,2,237
18460,147,356,4098,-24,78,503,997,-7,2,238
18480,66,414,4123,20,14,553,1005,-7,2,237
18500,-8,419,4039,-11,29,448,1011,-7,2,237
18520,106,223,4132,13,21,397,1017,-7,1,237
18540,141,368,4100,2,12,226,1021,-7,1,238
18560,28,416,4069,-17,-18,188,1024,-7,1,238
18580,-195,275,3736,-89,-45,377,1028,-7,1,238
18600,139,364,3955,-22,34,415,1034,-7,2,238
18620,592,-152,4636,104,48,359,1039,-7,1,237
18640,-300,553,4038,-2,29,422,1044,-7,1,237
18660,-120,406,4120,60,105,753,1053,-6,2,237
18680,376,239,4056,73,106,469,1061,-6,2,237
18700,22,420,4227,54,68,510,1068,-6,3,237
18720,70,229,4121,51,141,572,1076,-5,3,238
18740,79,129,4298,98,98,429,1082,-5,3,237
18760,202,206,4267,69,70,341,1087,-6,2,237
